SYSTEM,WATERWAY,SITE,TRANSECT,SUB_TRANS,METRES,METRES.1,SPECIES,ORIGIN,COUNT,DATE,SURVEY,EXCLOSURE,Notes
Wimmera,Burnt,MacInnes,1,A,0,0 to 1,Nil,NA,0,20/12/2017,2,0,
Wimmera,Burnt,MacInnes,1,A,0,0 to 1,Nil,NA,0,11/04/2018,3,0,Should be 11/4/2018 survey 3
Wimmera,Burnt,MacInnes,1,B,1,1 to 2,Nil,NA,0,11/04/2018,3,0,
Wimmera,Burnt,MacInnes,1,B,1,1 to 2,Haloragis heterophylla,native,3,20/12/2017,2,0,
Wimmera,Burnt,MacInnes,1,C,2,2 to 3,Nil,NA,0,11/04/2018,3,0,
Wimmera,Burnt,MacInnes,1,C,2,2 to 3,Haloragis heterophylla,native,4,20/12/2017,2,0,
Wimmera,Burnt,MacInnes,1,W,-1, -1 to 0,Nil,NA,0,20/12/2017,2,0,
Wimmera,Burnt,MacInnes,1,W,-1, -1 to 0,Nil,NA,0,11/04/2018,3,0,
Wimmera,Burnt,MacInnes,2,A,0,0 to 1,Nil,NA,0,20/12/2017,2,0,
Wimmera,Burnt,MacInnes,2,A,0,0 to 1,Nil,NA,0,11/04/2018,3,0,
Wimmera,Burnt,MacInnes,2,B,1,1 to 2,Nil,NA,0,20/12/2017,2,0,
Wimmera,Burnt,MacInnes,2,B,1,1 to 2,Nil,NA,0,11/04/2018,3,0,
Wimmera,Burnt,MacInnes,2,C,2,2 to 3,Nil,NA,0,11/04/2018,3,0,
Wimmera,Burnt,MacInnes,2,W,-1, -1 to 0,Nil,NA,0,20/12/2017,2,0,
Wimmera,Burnt,MacInnes,2,W,-1, -1 to 0,Nil,NA,0,11/04/2018,3,0,
Wimmera,Burnt,MacInnes,3,A,0,0 to 1,Nil,NA,0,11/04/2018,3,0,
Wimmera,Burnt,MacInnes,3,A,0,0 to 1,Triglochin alcockiae,native,0,20/12/2017,2,0,
Wimmera,Burnt,MacInnes,3,B,1,1 to 2,Nil,NA,0,20/12/2017,2,0,
Wimmera,Burnt,MacInnes,3,B,1,1 to 2,Isolepis inundata,native,0,11/04/2018,3,0,
Wimmera,Burnt,MacInnes,3,W,-1, -1 to 0,Nil,NA,0,20/12/2017,2,0,
Wimmera,Burnt,MacInnes,3,W,-1, -1 to 0,Nil,NA,0,11/04/2018,3,0,
Wimmera,Burnt,MacInnes,4,A,0,0 to 1,Nil,NA,0,20/12/2017,2,0,
Wimmera,Burnt,MacInnes,4,A,0,0 to 1,Nil,NA,0,11/04/2018,3,0,
Wimmera,Burnt,MacInnes,4,B,1,1 to 2,Nil,NA,0,20/12/2017,2,0,
Wimmera,Burnt,MacInnes,4,B,1,1 to 2,Nil,NA,0,11/04/2018,3,0,
Wimmera,Burnt,MacInnes,4,W,-1, -1 to 0,Nil,NA,0,20/12/2017,2,0,
Wimmera,Burnt,MacInnes,4,W,-1, -1 to 0,Nil,NA,0,11/04/2018,3,0,
Wimmera,Burnt,MacInnes,5,A,0,0 to 1,Nil,NA,0,20/12/2017,2,0,
Wimmera,Burnt,MacInnes,5,A,0,0 to 1,Nil,NA,0,11/04/2018,3,0,
Wimmera,Burnt,MacInnes,5,B,1,1 to 2,Nil,NA,0,20/12/2017,2,0,
Wimmera,Burnt,MacInnes,5,B,1,1 to 2,Nil,NA,0,11/04/2018,3,0,
Wimmera,Burnt,MacInnes,5,W,-1, -1 to 0,Nil,NA,0,20/12/2017,2,0,
Wimmera,Burnt,MacInnes,5,W,-1, -1 to 0,Nil,NA,0,11/04/2018,3,0,
Wimmera,Burnt,Millers,1,A,0,0 to 1,Hypochaeris radicata,exotic,10_50,3/09/2017,1,0,Should be 3/9/2017 survey 1
Wimmera,Burnt,Millers,1,A,0,0 to 1,Hypochaeris radicata,exotic,10_50,20/12/2017,2,0,
Wimmera,Burnt,Millers,1,A,0,0 to 1,Sonchus oleraceus,exotic,1,3/09/2017,1,0,
Wimmera,Burnt,Millers,1,A,0,0 to 1,Nil,NA,0,10/04/2018,3,0,Should be 10/4/2018 survey 3
Wimmera,Burnt,Millers,1,A,0,0 to 1,Centella cordifolia,native,2,20/12/2017,2,0,
Wimmera,Burnt,Millers,1,A,0,0 to 1,Cotula australis,native,3,3/09/2017,1,0,
Wimmera,Burnt,Millers,1,A,0,0 to 1,Cotula australis,native,2,3/09/2017,1,0,
Wimmera,Burnt,Millers,1,B,1,1 to 2,Hypochaeris radicata,exotic,10_50,3/09/2017,1,0,
Wimmera,Burnt,Millers,1,B,1,1 to 2,Hypochaeris radicata,exotic,10_50,20/12/2017,2,0,
Wimmera,Burnt,Millers,1,B,1,1 to 2,Lactuca serriola,exotic,5,20/12/2017,2,0,
Wimmera,Burnt,Millers,1,B,1,1 to 2,Sonchus oleraceus,exotic,1,3/09/2017,1,0,
Wimmera,Burnt,Millers,1,B,1,1 to 2,Nil,NA,0,10/04/2018,3,0,
Wimmera,Burnt,Millers,1,B,1,1 to 2,Cotula australis,native,2,3/09/2017,1,0,
Wimmera,Burnt,Millers,1,B,1,1 to 2,Eucalyptus camaldulensis var. camaldulensis,native,1,3/09/2017,1,0,
Wimmera,Burnt,Millers,1,C,2,2 to 3,Nil,NA,0,10/04/2018,3,0,
Wimmera,Burnt,Millers,1,W,-1, -1 to 0,Nil,NA,0,3/09/2017,1,0,
